animal,session,trial,reward_magnitude,ITI(ms),reward_outcome,observed_actTime,reward_prob_at_reposne,dot_speed(ms),1=responded,past_reward,past_actTime,deterministic_actTime,1=treatment group
1,2,181,1,7000,1,14,0.7311,200,1,2,12,12,1
1,2,182,2,7000,2,15,0.8176,300,1,1,14,9,1
1,2,183,3,7000,3,21,0.989,100,1,2,15,7,1
1,2,184,1,7000,1,18,0.9526,300,1,3,21,11,1
1,2,185,1,7000,NaN,NaN,NaN,100,0,1,18,16,1
1,2,186,1,7000,NaN,NaN,NaN,100,0,NaN,NaN,18,1
1,2,187,1,7000,NaN,NaN,NaN,100,0,NaN,NaN,13,1
1,2,188,3,7000,3,19,0.9707,300,1,NaN,NaN,13,1
1,2,189,1,7000,NaN,NaN,NaN,200,0,3,19,12,1
1,2,190,3,7000,3,25,0.9985,200,1,NaN,NaN,11,1
1,2,191,3,7000,3,13,0.6225,300,1,3,25,10,1
1,2,192,2,7000,2,22,0.9933,100,1,3,13,9,1
1,2,193,2,7000,2,18,0.9526,300,1,2,22,14,1
1,2,194,1,7000,NaN,NaN,NaN,100,0,2,18,18,1
1,2,195,2,7000,2,25,0.9985,300,1,NaN,NaN,17,1
1,2,196,3,7000,3,16,0.8808,300,1,2,25,13,1
1,2,197,2,7000,0,10,0.2689,200,1,3,16,14,1
1,2,198,3,7000,3,13,0.6225,300,1,0,10,12,1
1,2,199,2,7000,2,17,0.9241,100,1,3,13,15,1
1,2,200,3,7000,0,12,0.5,100,1,2,17,9,1
1,3,2,2,3000,2,11,0.3775,200,1,2,16,NaN,1
1,3,3,3,3000,0,9,0.1824,300,1,2,11,NaN,1
1,3,4,3,3000,3,12,0.5,100,1,0,9,NaN,1
1,3,5,2,3000,2,10,0.2689,200,1,3,12,NaN,1
1,3,6,3,3000,0,11,0.3775,200,1,2,10,NaN,1
1,3,7,2,3000,0,10,0.2689,300,1,0,11,NaN,1
1,3,8,3,3000,0,10,0.2689,300,1,0,10,NaN,1
1,3,9,3,3000,3,14,0.7311,100,1,0,10,NaN,1
1,3,10,2,3000,0,8,0.1192,300,1,3,14,NaN,1
1,3,11,3,3000,0,8,0.1192,200,1,0,8,6,1
1,3,12,1,3000,1,11,0.3775,100,1,0,8,6,1
1,3,13,3,3000,0,10,0.2689,200,1,1,11,5,1
1,3,14,2,3000,0,6,0.0474,300,1,0,10,9,1
1,3,15,1,3000,0,9,0.1824,200,1,0,6,6,1
1,3,16,3,3000,3,11,0.3775,100,1,0,9,3,1
1,3,17,1,3000,1,10,0.2689,300,1,3,11,7,1
1,3,18,2,3000,0,9,0.1824,100,1,1,10,2,1
1,3,19,2,3000,0,10,0.2689,200,1,0,9,4,1
1,3,20,3,3000,3,13,0.6225,100,1,0,10,3,1
1,3,21,3,3000,3,12,0.5,100,1,3,13,1,1
1,3,22,2,3000,0,8,0.1192,300,1,3,12,5,1
1,3,23,3,3000,0,13,0.6225,100,1,0,8,2,1
1,3,24,3,3000,3,9,0.1824,200,1,0,13,5,1
1,3,25,3,3000,0,9,0.1824,200,1,3,9,3,1
1,3,26,3,3000,0,8,0.1192,300,1,0,9,6,1
1,3,27,2,3000,0,8,0.1192,200,1,0,8,4,1
1,3,28,3,3000,3,13,0.6225,100,1,0,8,5,1
1,3,29,1,3000,0,8,0.1192,200,1,3,13,5,1
1,3,30,1,3000,1,8,0.1192,300,1,0,8,7,1
1,3,31,1,5000,1,16,0.8808,100,1,1,8,5,1
1,3,32,2,5000,0,9,0.1824,100,1,1,16,4,1
1,3,33,1,5000,1,10,0.2689,200,1,0,9,6,1
1,3,34,1,5000,1,13,0.6225,300,1,1,10,7,1
1,3,35,2,5000,2,12,0.5,200,1,1,13,6,1
1,3,36,2,5000,0,10,0.2689,300,1,2,12,7,1
1,3,37,1,5000,0,9,0.1824,300,1,0,10,9,1
